natlist , comp-exec , rascal , 0 , 6.71 , 10076 , 1912
oddeven , comp-exec , rascal , 0 , 29.43 , 10076 , 1720
order , comp-exec , rascal , 0 , 4.21 , 10076 , 1732
revelt , comp-exec , rascal , 0 , 4.31 , 10076 , 1788
searchinconditions , comp-exec , rascal , 0 , 3.60 , 10076 , 1924
soundnessofparallelengines , comp-exec , rascal , 0 , 4.21 , 10076 , 1856
tautologyhard , comp-exec , rascal , 0 , 4.91 , 10076 , 1860
tricky , comp-exec , rascal , 0 , 4.11 , 10076 , 1928
calls , comp , scala , 0 , 7.21 , 10076 , 1900
calls , exec , scala , 0 , 0.50 , 10076 , 1724
check1 , comp , scala , 0 , 6.62 , 10076 , 1848
check1 , exec , scala , 0 , 0.51 , 10076 , 1912
closure , comp , scala , 0 , 15.22 , 10076 , 1732
closure , exec , scala , 0 , 0.80 , 10076 , 1732
confluence , comp , scala , 0 , 6.92 , 10076 , 1760
confluence , exec , scala , 0 , 0.50 , 10076 , 1924
empty , comp , scala , 0 , 6.71 , 10076 , 1928
empty , exec , scala , 0 , 0.50 , 10076 , 1860
garbagecollection , comp , scala , 0 , 9.72 , 10076 , 1856
garbagecollection , exec , scala , 0 , 0.60 , 10076 , 1860
natlist , comp , scala , 1 , 2.60 , 10076 , 1872
oddeven , comp , scala , 0 , 7.81 , 10076 , 1924
oddeven , exec , scala , 0 , 0.60 , 10076 , 1856
order , comp , scala , 0 , 6.61 , 10076 , 1928
order , exec , scala , 0 , 0.50 , 10076 , 1916
revelt , comp , scala , 0 , 8.31 , 10076 , 1724
revelt , exec , scala , 0 , 0.50 , 10076 , 1876
searchinconditions , comp , scala , 0 , 6.11 , 10076 , 1924
searchinconditions , exec , scala , 0 , 0.50 , 10076 , 1744
soundnessofparallelengines , comp , scala , 0 , 7.22 , 10076 , 1792
soundnessofparallelengines , exec , scala , 0 , 0.50 , 10076 , 1900
tautologyhard , comp , scala , 0 , 8.61 , 10076 , 1900
tautologyhard , exec , scala , 0 , 0.50 , 10076 , 1792
tricky , comp , scala , 0 , 7.81 , 10076 , 1912
tricky , exec , scala , 0 , 0.50 , 10076 , 1760
calls , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1792
calls , comp , sml-mlton , 0 , 9.51 , 10076 , 1924
calls , exec , sml-mlton , 0 , 0.10 , 4080 , 80
check1 , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1796
check1 , comp , sml-mlton , 0 , 9.51 , 10076 , 1924
