garbagecollection , comp-exec , lnt , 0 , 1.40 , 10076 , 1924
hanoi4 , comp-exec , lnt , 0 , 1.40 , 10076 , 1820
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1940
order , comp-exec , lnt , 0 , 1.30 , 10076 , 1912
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1752
searchinconditions , comp-exec , lnt , 0 , 1.30 , 10076 , 1920
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 10076 , 1916
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1752
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1904
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1924
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1932
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1820
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1872
empty , comp-exec , lotos , 0 , 0.70 , 10076 , 1904
fibonacci05 , comp-exec , lotos , 0 , 0.70 , 10076 , 1940
garbagecollection , comp-exec , lotos , 0 , 0.70 , 10076 , 1820
hanoi4 , comp-exec , lotos , 0 , 0.70 , 10076 , 1756
oddeven , comp-exec , lotos , 0 , 0.70 , 10076 , 1924
order , comp-exec , lotos , 0 , 0.70 , 10076 , 1752
revelt , comp-exec , lotos , 0 , 0.70 , 10076 , 1820
searchinconditions , comp-exec , lotos , 0 , 0.70 , 10076 , 1916
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 10076 , 1932
tautologyhard , comp-exec , lotos , 0 , 0.80 , 10076 , 1872
tricky , comp-exec , lotos , 0 , 0.70 , 10076 , 1756
calls , comp-exec , maude , 0 , 0.30 , 10076 , 1912
check1 , comp-exec , maude , 0 , 0.10 , 4080 , 84
check2 , comp-exec , maude , 0 , 0.10 , 4080 , 84
confluence , comp-exec , maude , 0 , 0.10 , 4080 , 84
empty , comp-exec , maude , 0 , 0.10 , 4080 , 84
fibonacci05 , comp-exec , maude , 0 , 0.10 , 4080 , 80
garbagecollection , comp-exec , maude , 0 , 0.10 , 4080 , 80
hanoi4 , comp-exec , maude , 0 , 0.10 , 4080 , 80
oddeven , comp-exec , maude , 0 , 3.70 , 10076 , 1924
order , comp-exec , maude , 0 , 0.10 , 4080 , 80
revelt , comp-exec , maude , 0 , 0.10 , 4080 , 80
searchinconditions , comp-exec , maude , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 4080 , 84
tautologyhard , comp-exec , maude , 0 , 0.10 , 4080 , 80
tricky , comp-exec , maude , 0 , 0.10 , 4080 , 84
calls , comp , mcrl2-jitty , 0 , 0.50 , 10076 , 1872
calls , exec , mcrl2-jitty , 0 , 0.20 , 10076 , 1756
calls , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
calls , exec , mcrl2-jittyc , 0 , 13.92 , 10076 , 1816
check1 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
check1 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
check1 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1916
check2 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
check2 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
check2 , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1872
confluence , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
confluence , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
confluence , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1864
empty , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
empty , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
empty , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
empty , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1752
fibonacci05 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
fibonacci05 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
fibonacci05 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
fibonacci05 , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1916
garbagecollection , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
garbagecollection , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
garbagecollection , exec , mcrl2-jittyc , 0 , 10.81 , 10076 , 1876
hanoi4 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
hanoi4 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
hanoi4 , exec , mcrl2-jittyc , 0 , 12.11 , 10076 , 1792
oddeven , comp , mcrl2-jitty , 0 , 0.20 , 10076 , 1820
oddeven , exec , mcrl2-jitty , 0 , 9.31 , 10076 , 1900
oddeven , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
oddeven , exec , mcrl2-jittyc , 0 , 17.42 , 10076 , 1876
order , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
order , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
order , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
order , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1752
revelt , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
revelt , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
revelt , exec , mcrl2-jittyc , 0 , 9.91 , 10076 , 1752
searchinconditions , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
searchinconditions , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
searchinconditions , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1940
soundnessofparallelengines , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1940
tautologyhard , comp , mcrl2-jitty , 0 , 0.20 , 10076 , 1820
tautologyhard , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
tautologyhard , exec , mcrl2-jittyc , 0 , 11.02 , 10076 , 1936
tricky , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
tricky , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 84
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
tricky , exec , mcrl2-jittyc , 0 , 11.41 , 10076 , 1936
calls , comp , ocaml-interp , 0 , 0.50 , 10076 , 1904
calls , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
calls , comp , ocaml-compil , 0 , 0.60 , 10076 , 1752
calls , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
check1 , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
check1 , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
check1 , comp , ocaml-compil , 0 , 0.20 , 10076 , 1872
check1 , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
check2 , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
check2 , exec , ocaml-interp , 0 , 0.10 , 4080 , 80
check2 , comp , ocaml-compil , 0 , 0.20 , 10076 , 1752
check2 , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
confluence , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
confluence , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
confluence , comp , ocaml-compil , 0 , 0.20 , 10076 , 1940
confluence , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
empty , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
empty , exec , ocaml-interp , 0 , 0.10 , 4080 , 80
empty , comp , ocaml-compil , 0 , 0.20 , 10076 , 1932
empty , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
fibonacci05 , comp , ocaml-interp , 0 , 0.10 , 4080 , 80
fibonacci05 , exec , ocaml-interp , 0 , 0.10 , 4080 , 80
fibonacci05 , comp , ocaml-compil , 0 , 0.20 , 10076 , 1936
fibonacci05 , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
garbagecollection , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
garbagecollection , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
garbagecollection , comp , ocaml-compil , 0 , 0.20 , 10076 , 1904
garbagecollection , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
hanoi4 , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
hanoi4 , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
hanoi4 , comp , ocaml-compil , 0 , 0.20 , 10076 , 1872
hanoi4 , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
oddeven , comp , ocaml-interp , 0 , 0.10 , 4080 , 80
oddeven , exec , ocaml-interp , 0 , 0.20 , 10076 , 1920
oddeven , comp , ocaml-compil , 0 , 0.20 , 10076 , 1916
oddeven , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
order , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
order , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
order , comp , ocaml-compil , 0 , 0.20 , 10076 , 1756
order , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
revelt , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
revelt , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
revelt , comp , ocaml-compil , 0 , 0.20 , 10076 , 1860
