empty , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
empty , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
empty , exec , mcrl2-jittyc , 0 , 9.21 , 3924 , 1836
fibonacci05 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2-jittyc , 0 , 10.81 , 3924 , 1744
garbagecollection , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2-jittyc , 0 , 10.71 , 3924 , 1744
hanoi4 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 52
hanoi4 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
hanoi4 , exec , mcrl2-jittyc , 0 , 12.11 , 3924 , 1796
oddeven , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-jitty , 0 , 12.41 , 3924 , 1832
oddeven , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-jittyc , 0 , 21.52 , 3924 , 1736
order , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
order , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
order , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 60
order , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1760
revelt , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
revelt , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
revelt , exec , mcrl2-jittyc , 0 , 9.73 , 3924 , 1840
searchinconditions , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1784
soundnessofparallelengines , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
soundnessofparallelengines , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1784
tautologyhard , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
tautologyhard , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
tautologyhard , exec , mcrl2-jittyc , 0 , 10.91 , 3924 , 1796
tricky , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
tricky , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
tricky , exec , mcrl2-jittyc , 0 , 11.33 , 3924 , 1784
calls , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
calls , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
calls , comp , ocaml-compil , 0 , 0.20 , 3924 , 1736
calls , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
check1 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
check1 , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
check1 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1676
check1 , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
check2 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
check2 , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
check2 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1836
check2 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
confluence , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
confluence , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
confluence , comp , ocaml-compil , 0 , 0.20 , 3924 , 1796
confluence , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
empty , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
empty , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
empty , comp , ocaml-compil , 0 , 0.20 , 3924 , 1736
empty , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
fibonacci05 , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , ocaml-compil , 0 , 0.20 , 3924 , 1728
fibonacci05 , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
garbagecollection , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
garbagecollection , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
garbagecollection , comp , ocaml-compil , 0 , 0.20 , 3924 , 1736
garbagecollection , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
hanoi4 , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
hanoi4 , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
hanoi4 , comp , ocaml-compil , 0 , 0.30 , 3924 , 1736
hanoi4 , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
oddeven , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
oddeven , exec , ocaml-interp , 0 , 0.20 , 3924 , 1836
oddeven , comp , ocaml-compil , 0 , 0.20 , 3924 , 1612
oddeven , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
order , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
