closure , comp , haskell , 0 , 2.90 , 3924 , 1716
closure , exec , haskell , 0 , 0.10 , 2020 , 56
dart , comp , haskell , 0 , 1.30 , 3924 , 1768
dart , exec , haskell , 0 , 0.10 , 2020 , 52
evalexpr , comp , haskell , 0 , 1.50 , 3924 , 1732
evalexpr , exec , haskell , 0 , 1.20 , 3924 , 1708
evalsym , comp , haskell , 0 , 1.50 , 3924 , 1736
evalsym , exec , haskell , 0 , 43.65 , 3924 , 1728
evaltree , comp , haskell , 0 , 1.40 , 3924 , 1768
evaltree , exec , haskell , 0 , 4.80 , 3924 , 1712
factorial5 , comp , haskell , 0 , 1.10 , 3924 , 1724
factorial5 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial6 , comp , haskell , 0 , 1.10 , 3924 , 1868
factorial6 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial7 , comp , haskell , 0 , 1.10 , 3924 , 1732
factorial7 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial8 , comp , haskell , 0 , 1.10 , 3924 , 1824
factorial8 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial9 , comp , haskell , 0 , 1.10 , 3924 , 1868
factorial9 , exec , haskell , 0 , 0.40 , 3924 , 1732
fib32 , comp , haskell , 0 , 1.40 , 3924 , 1736
fib32 , exec , haskell , 0 , 4.70 , 3924 , 1724
fibfree , comp , haskell , 0 , 1.80 , 3924 , 1724
fibfree , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 0 , 1.10 , 3924 , 1788
fibonacci18 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci19 , comp , haskell , 0 , 1.10 , 3924 , 1776
fibonacci19 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci20 , comp , haskell , 0 , 1.20 , 3924 , 1732
fibonacci20 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 0 , 1.20 , 3924 , 1788
fibonacci21 , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi8 , comp , haskell , 0 , 1.40 , 3924 , 1868
hanoi8 , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi12 , comp , haskell , 0 , 1.40 , 3924 , 1788
hanoi12 , exec , haskell , 0 , 0.10 , 2020 , 56
hanoi16 , comp , haskell , 0 , 1.30 , 3924 , 1768
hanoi16 , exec , haskell , 0 , 0.40 , 3924 , 1764
hanoi20 , comp , haskell , 0 , 1.30 , 3924 , 1824
hanoi20 , exec , haskell , 0 , 6.51 , 3924 , 1736
intnat , comp , haskell , 0 , 23.64 , 3924 , 1776
intnat , exec , haskell , 0 , 0.10 , 2020 , 56
langton6 , comp , haskell , 0 , 2.40 , 3924 , 1716
langton6 , exec , haskell , 0 , 165.63 , 3924 , 1748
langton7 , comp , haskell , 0 , 2.40 , 3924 , 1868
langton7 , exec , haskell , 0 , 343.09 , 3924 , 1600
logic3 , comp , haskell , 0 , 1.20 , 3924 , 1724
logic3 , exec , haskell , 0 , 0.10 , 2020 , 52
maa , comp , haskell , 0 , 5.71 , 3924 , 1868
maa , exec , haskell , 0 , 2.80 , 3924 , 1868
merge , comp , haskell , 0 , 1.40 , 3924 , 1776
merge , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort10 , comp , haskell , 0 , 1.30 , 3924 , 1868
mergesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort100 , comp , haskell , 0 , 1.40 , 3924 , 1868
mergesort100 , exec , haskell , 0 , 0.10 , 2020 , 56
mergesort1000 , comp , haskell , 0 , 1.30 , 3924 , 1776
mergesort1000 , exec , haskell , 0 , 0.50 , 3924 , 1724
missionaries2 , comp , haskell , 0 , 1.90 , 3924 , 1764
missionaries2 , exec , haskell , 0 , 0.10 , 2020 , 52
missionaries3 , comp , haskell , 0 , 1.90 , 3924 , 1868
missionaries3 , exec , haskell , 0 , 0.10 , 2020 , 52
mul8 , comp , haskell , 0 , 41.46 , 3924 , 1716
mul8 , exec , haskell , 0 , 0.20 , 3924 , 1596
mul16 , comp , haskell , 0 , 64.57 , 3924 , 1776
mul16 , exec , haskell , 0 , 0.40 , 3924 , 1776
mul32 , comp , haskell , 0 , 105.82 , 3924 , 1872
mul32 , exec , haskell , 0 , 1.60 , 3924 , 1716
natlist , comp , haskell , 0 , 1.60 , 3924 , 1780
natlist , exec , haskell , 0 , 0.10 , 2020 , 52
omul8 , comp , haskell , 0 , 41.65 , 3924 , 1824
omul8 , exec , haskell , 0 , 0.20 , 3924 , 1828
omul32 , comp , haskell , 0 , 106.22 , 3924 , 1660
omul32 , exec , haskell , 0 , 1.50 , 3924 , 1596
permutations6 , comp , haskell , 0 , 1.40 , 3924 , 1708
permutations6 , exec , haskell , 0 , 0.10 , 2020 , 56
permutations7 , comp , haskell , 0 , 1.40 , 3924 , 1868
permutations7 , exec , haskell , 0 , 0.40 , 3924 , 1872
quicksort10 , comp , haskell , 0 , 1.30 , 3924 , 1724
quicksort10 , exec , haskell , 0 , 0.10 , 2020 , 56
quicksort100 , comp , haskell , 0 , 1.30 , 3924 , 1732
quicksort100 , exec , haskell , 0 , 0.10 , 2020 , 56
quicksort1000 , comp , haskell , 0 , 1.40 , 3924 , 1684
quicksort1000 , exec , haskell , 0 , 8.51 , 3924 , 1724
revnat100 , comp , haskell , 0 , 1.20 , 3924 , 1712
revnat100 , exec , haskell , 0 , 0.10 , 2020 , 52
revnat1000 , comp , haskell , 0 , 1.20 , 3924 , 1552
revnat1000 , exec , haskell , 0 , 0.50 , 3924 , 1824
revnat10000 , comp , haskell , 0 , 1.20 , 3924 , 1824
revnat10000 , exec , haskell , 0 , 156.51 , 3924 , 1724
sieve20 , comp , haskell , 0 , 1.30 , 3924 , 1740
sieve20 , exec , haskell , 0 , 0.10 , 2020 , 56
sieve100 , comp , haskell , 0 , 1.40 , 3924 , 1764
sieve100 , exec , haskell , 0 , 0.10 , 2020 , 52
sieve1000 , comp , haskell , 0 , 1.40 , 3924 , 1764
sieve1000 , exec , haskell , 0 , 0.30 , 3924 , 1784
sieve2000 , comp , haskell , 0 , 1.40 , 3924 , 1660
sieve2000 , exec , haskell , 0 , 1.50 , 3924 , 1660
sieve10000 , comp , haskell , 0 , 1.30 , 3924 , 1752
sieve10000 , exec , haskell , 0 , 99.84 , 3924 , 1660
tak18 , comp , haskell , 0 , 1.20 , 3924 , 1872
tak18 , exec , haskell , 0 , 0.10 , 2020 , 52
