revnat10000 , exec , clean-hack , 0 , 172.31 , 3928 , 1668
sieve20 , comp , clean , 0 , 0.20 , 3928 , 1668
sieve20 , exec , clean , 0 , 0.10 , 2024 , 60
sieve20 , comp , clean-hack , 0 , 0.20 , 3928 , 1784
sieve20 , exec , clean-hack , 0 , 0.10 , 2024 , 56
sieve100 , comp , clean , 0 , 0.20 , 3928 , 1724
sieve100 , exec , clean , 0 , 0.10 , 2024 , 56
sieve100 , comp , clean-hack , 0 , 0.20 , 3928 , 1604
sieve100 , exec , clean-hack , 0 , 0.10 , 2024 , 56
sieve1000 , comp , clean , 0 , 0.20 , 3928 , 1728
sieve1000 , exec , clean , 0 , 0.20 , 3928 , 1756
sieve1000 , comp , clean-hack , 0 , 0.20 , 3928 , 1864
sieve1000 , exec , clean-hack , 0 , 0.20 , 3928 , 1868
sieve2000 , comp , clean , 0 , 0.20 , 3928 , 1784
sieve2000 , exec , clean , 255 , 0.10 , 2024 , 56
sieve2000 , comp , clean-hack , 0 , 0.20 , 3928 , 1776
sieve2000 , exec , clean-hack , 0 , 0.60 , 3928 , 1756
sieve10000 , comp , clean , 0 , 0.20 , 3928 , 1776
sieve10000 , exec , clean , 255 , 0.10 , 2024 , 56
sieve10000 , comp , clean-hack , 0 , 0.20 , 3928 , 1724
sieve10000 , exec , clean-hack , 0 , 60.59 , 3928 , 1728
tak18 , comp , clean , 0 , 0.20 , 3928 , 1788
