factorial8 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial9 , comp , haskell , 0 , 1.10 , 3924 , 1596
factorial9 , exec , haskell , 0 , 0.40 , 3924 , 1788
fib32 , comp , haskell , 0 , 1.40 , 3924 , 1784
fib32 , exec , haskell , 0 , 4.71 , 3924 , 1772
fibfree , comp , haskell , 0 , 1.80 , 3924 , 1736
fibfree , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1800
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 0 , 1.10 , 3924 , 1768
fibonacci18 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci19 , comp , haskell , 0 , 1.20 , 3924 , 1764
fibonacci19 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci20 , comp , haskell , 0 , 1.10 , 3924 , 1768
fibonacci20 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 0 , 1.10 , 3924 , 1788
fibonacci21 , exec , haskell , 0 , 0.10 , 2020 , 56
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1784
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
langton6 , comp , haskell , 0 , 2.40 , 3924 , 1712
langton6 , exec , haskell , 0 , 165.54 , 3924 , 1736
langton7 , comp , haskell , 0 , 2.30 , 3924 , 1760
langton7 , exec , haskell , 0 , 343.79 , 3924 , 1728
logic3 , comp , haskell , 0 , 1.10 , 3924 , 1824
logic3 , exec , haskell , 0 , 0.10 , 2020 , 52
merge , comp , haskell , 0 , 1.30 , 3924 , 1724
merge , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort10 , comp , haskell , 0 , 1.30 , 3924 , 1724
mergesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort100 , comp , haskell , 0 , 1.30 , 3924 , 1764
mergesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort1000 , comp , haskell , 0 , 1.30 , 3924 , 1596
mergesort1000 , exec , haskell , 0 , 0.50 , 3924 , 1764
missionaries2 , comp , haskell , 0 , 1.90 , 3924 , 1776
missionaries2 , exec , haskell , 0 , 0.10 , 2020 , 56
missionaries3 , comp , haskell , 0 , 1.90 , 3924 , 1788
missionaries3 , exec , haskell , 0 , 0.10 , 2020 , 52
permutations6 , comp , haskell , 0 , 1.30 , 3924 , 1788
permutations6 , exec , haskell , 0 , 0.10 , 2020 , 52
permutations7 , comp , haskell , 0 , 1.30 , 3924 , 1724
permutations7 , exec , haskell , 0 , 0.40 , 3924 , 1716
quicksort10 , comp , haskell , 0 , 1.40 , 3924 , 1868
quicksort10 , exec , haskell , 0 , 0.10 , 2020 , 52
quicksort100 , comp , haskell , 0 , 1.30 , 3924 , 1752
quicksort100 , exec , haskell , 0 , 0.10 , 2020 , 56
quicksort1000 , comp , haskell , 0 , 1.30 , 3924 , 1780
quicksort1000 , exec , haskell , 0 , 8.51 , 3924 , 1828
revnat100 , comp , haskell , 0 , 1.20 , 3924 , 1748
revnat100 , exec , haskell , 0 , 0.10 , 2020 , 52
revnat1000 , comp , haskell , 0 , 1.20 , 3924 , 1776
revnat1000 , exec , haskell , 0 , 0.40 , 3924 , 1660
revnat10000 , comp , haskell , 0 , 1.20 , 3924 , 1764
revnat10000 , exec , haskell , 0 , 166.19 , 3924 , 1732
sieve20 , comp , haskell , 0 , 1.30 , 3924 , 1768
sieve20 , exec , haskell , 0 , 0.10 , 2020 , 56
sieve100 , comp , haskell , 0 , 1.40 , 3924 , 1724
sieve100 , exec , haskell , 0 , 0.10 , 2020 , 52
sieve1000 , comp , haskell , 0 , 1.30 , 3924 , 1780
sieve1000 , exec , haskell , 0 , 0.20 , 3924 , 1760
sieve2000 , comp , haskell , 0 , 1.30 , 3924 , 1764
sieve2000 , exec , haskell , 0 , 0.90 , 3924 , 1684
sieve10000 , comp , haskell , 0 , 1.40 , 3924 , 1788
sieve10000 , exec , haskell , 0 , 54.76 , 3924 , 1716
tak18 , comp , haskell , 0 , 1.20 , 3924 , 1824
tak18 , exec , haskell , 0 , 0.10 , 2020 , 52
tak36 , comp , haskell , 0 , 1.20 , 3924 , 1660
tak36 , exec , haskell , 0 , 1.00 , 3924 , 1764
benchexpr10 , comp-exec , lnt , 0 , 1.60 , 3924 , 1596
benchexpr20 , comp-exec , lnt , 0 , 3.20 , 3924 , 1824
benchexpr22 , comp-exec , lnt , 0 , 7.71 , 3924 , 1748
benchsym10 , comp-exec , lnt , 0 , 1.70 , 3924 , 1764
benchsym20 , comp-exec , lnt , 0 , 2.70 , 3924 , 1764
benchsym22 , comp-exec , lnt , 0 , 5.51 , 3924 , 1732
benchtree10 , comp-exec , lnt , 1 , 23.12 , 3924 , 1868
benchtree20 , comp-exec , lnt , 1 , 22.82 , 3924 , 1868
benchtree22 , comp-exec , lnt , 1 , 23.22 , 3924 , 1872
binarysearch , comp-exec , lnt , 0 , 4.20 , 3924 , 1724
bubblesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1772
