natlist , comp , haskell , 0 , 1.60 , 3924 , 1780
natlist , exec , haskell , 0 , 0.10 , 2020 , 56
omul8 , comp , haskell , 0 , 41.35 , 3924 , 1748
omul8 , exec , haskell , 0 , 0.20 , 3924 , 1868
omul32 , comp , haskell , 0 , 105.85 , 3924 , 1868
omul32 , exec , haskell , 0 , 1.50 , 3924 , 1788
permutations6 , comp , haskell , 0 , 1.43 , 3924 , 1872
permutations6 , exec , haskell , 0 , 0.10 , 2020 , 48
permutations7 , comp , haskell , 0 , 1.30 , 3924 , 1728
permutations7 , exec , haskell , 0 , 0.40 , 3924 , 1660
quicksort10 , comp , haskell , 0 , 1.30 , 3924 , 1868
quicksort10 , exec , haskell , 0 , 0.10 , 2020 , 52
quicksort100 , comp , haskell , 0 , 1.30 , 3924 , 1828
quicksort100 , exec , haskell , 0 , 0.10 , 2020 , 52
quicksort1000 , comp , haskell , 0 , 1.40 , 3924 , 1664
quicksort1000 , exec , haskell , 0 , 8.51 , 3924 , 1724
revnat100 , comp , haskell , 0 , 1.20 , 3924 , 1732
revnat100 , exec , haskell , 0 , 0.10 , 2020 , 52
revnat1000 , comp , haskell , 0 , 1.20 , 3924 , 1792
revnat1000 , exec , haskell , 0 , 0.40 , 3924 , 1660
revnat10000 , comp , haskell , 0 , 1.20 , 3924 , 1788
revnat10000 , exec , haskell , 0 , 151.73 , 3924 , 1776
sieve20 , comp , haskell , 0 , 1.30 , 3924 , 1600
sieve20 , exec , haskell , 0 , 0.10 , 2020 , 56
sieve100 , comp , haskell , 0 , 1.40 , 3924 , 1784
sieve100 , exec , haskell , 0 , 0.10 , 2020 , 52
sieve1000 , comp , haskell , 0 , 1.40 , 3924 , 1600
sieve1000 , exec , haskell , 0 , 0.30 , 3924 , 1596
sieve2000 , comp , haskell , 0 , 1.40 , 3924 , 1868
sieve2000 , exec , haskell , 0 , 1.50 , 3924 , 1724
sieve10000 , comp , haskell , 0 , 1.30 , 3924 , 1788
sieve10000 , exec , haskell , 0 , 100.04 , 3924 , 1824
tak18 , comp , haskell , 0 , 1.30 , 3924 , 1716
tak18 , exec , haskell , 0 , 0.10 , 2020 , 52
tak36 , comp , haskell , 0 , 1.20 , 3924 , 1868
tak36 , exec , haskell , 0 , 1.00 , 3924 , 1596
add8 , comp-exec , lnt , 0 , 97.01 , 3924 , 1776
add16 , comp-exec , lnt , 0 , 73.50 , 3924 , 1660
add32 , comp-exec , lnt , 0 , 115.06 , 3924 , 1724
benchexpr10 , comp-exec , lnt , 0 , 1.60 , 3924 , 1868
benchexpr20 , comp-exec , lnt , 0 , 3.20 , 3924 , 1728
benchexpr22 , comp-exec , lnt , 0 , 7.91 , 3924 , 1660
benchsym10 , comp-exec , lnt , 0 , 1.70 , 3924 , 1752
benchsym20 , comp-exec , lnt , 0 , 2.60 , 3924 , 1780
benchsym22 , comp-exec , lnt , 0 , 5.42 , 3924 , 1660
benchtree10 , comp-exec , lnt , 1 , 23.02 , 3924 , 1740
benchtree20 , comp-exec , lnt , 1 , 23.04 , 3924 , 1748
benchtree22 , comp-exec , lnt , 1 , 23.12 , 3924 , 1732
binarysearch , comp-exec , lnt , 0 , 7.31 , 3924 , 1872
bubblesort10 , comp-exec , lnt , 0 , 1.20 , 3924 , 1788
bubblesort20 , comp-exec , lnt , 0 , 1.20 , 3924 , 1824
bubblesort100 , comp-exec , lnt , 0 , 1.20 , 3924 , 1752
bubblesort720 , comp-exec , lnt , 0 , 1.80 , 3924 , 1768
bubblesort1000 , comp-exec , lnt , 0 , 2.50 , 3924 , 1728
dart , comp-exec , lnt , 0 , 1.40 , 3924 , 1776
evalexpr , comp-exec , lnt , 0 , 2.30 , 3924 , 1684
evalsym , comp-exec , lnt , 0 , 26.64 , 3924 , 1724
evaltree , comp-exec , lnt , 0 , 2.40 , 3924 , 1660
factorial5 , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
factorial6 , comp-exec , lnt , 0 , 1.20 , 3924 , 1684
factorial7 , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
factorial8 , comp-exec , lnt , 0 , 1.20 , 3924 , 1872
factorial9 , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
fib32 , comp-exec , lnt , 0 , 4.20 , 3924 , 1828
fibfree , comp-exec , lnt , 0 , 2.10 , 3924 , 1768
fibonacci05 , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
fibonacci18 , comp-exec , lnt , 0 , 1.20 , 3924 , 1780
fibonacci19 , comp-exec , lnt , 0 , 1.20 , 3924 , 1768
fibonacci20 , comp-exec , lnt , 0 , 1.20 , 3924 , 1784
fibonacci21 , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
hanoi8 , comp-exec , lnt , 0 , 1.40 , 3924 , 1728
hanoi12 , comp-exec , lnt , 0 , 1.30 , 3924 , 1824
