factorial9 , comp-exec , lnt , 0 , 1.40 , 10076 , 1760
fib32 , comp-exec , lnt , 0 , 4.21 , 10076 , 1732
fibfree , comp-exec , lnt , 0 , 2.20 , 10076 , 1820
fibonacci05 , comp-exec , lnt , 0 , 1.40 , 10076 , 1816
fibonacci18 , comp-exec , lnt , 0 , 1.40 , 10076 , 1792
fibonacci19 , comp-exec , lnt , 0 , 1.40 , 10076 , 1736
fibonacci20 , comp-exec , lnt , 0 , 1.40 , 10076 , 1804
fibonacci21 , comp-exec , lnt , 0 , 1.40 , 10076 , 1760
hanoi4 , comp-exec , lnt , 0 , 1.50 , 10076 , 1664
langton6 , comp-exec , lnt , 0 , 39.83 , 10076 , 1780
langton7 , comp-exec , lnt , 0 , 57.26 , 10076 , 1756
logic3 , comp-exec , lnt , 0 , 1.40 , 10076 , 1760
merge , comp-exec , lnt , 0 , 1.60 , 10076 , 1824
mergesort10 , comp-exec , lnt , 0 , 1.50 , 10076 , 1724
mergesort100 , comp-exec , lnt , timeout , 142.13 , 10076 , 1788
mergesort1000 , comp-exec , lnt , timeout , 142.71 , 10076 , 1704
missionaries2 , comp-exec , lnt , 0 , 4.41 , 10076 , 1776
missionaries3 , comp-exec , lnt , 0 , 1.80 , 10076 , 1796
permutations6 , comp-exec , lnt , 0 , 1.50 , 10076 , 1740
permutations7 , comp-exec , lnt , 0 , 1.80 , 10076 , 1796
quicksort10 , comp-exec , lnt , 0 , 1.50 , 10076 , 1652
quicksort100 , comp-exec , lnt , timeout , 143.14 , 10076 , 1796
quicksort1000 , comp-exec , lnt , timeout , 142.37 , 10076 , 1868
revnat100 , comp-exec , lnt , 0 , 4.11 , 10076 , 1768
revnat1000 , comp-exec , lnt , 0 , 1.50 , 10076 , 1728
revnat10000 , comp-exec , lnt , 0 , 7.41 , 10076 , 1832
sieve20 , comp-exec , lnt , 0 , 1.50 , 10076 , 1792
sieve100 , comp-exec , lnt , 0 , 1.50 , 10076 , 1732
sieve1000 , comp-exec , lnt , 0 , 1.60 , 10076 , 1748
sieve2000 , comp-exec , lnt , 0 , 2.00 , 10076 , 1668
sieve10000 , comp-exec , lnt , 0 , 75.25 , 10076 , 1740
tak18 , comp-exec , lnt , 0 , 1.40 , 10076 , 1828
