evalsym , comp , haskell , 1.50 , 116576 , 72520
evalsym , exec , haskell , 43.54 , 7540 , 4568
evaltree , comp , haskell , 1.51 , 116576 , 73556
evaltree , exec , haskell , 4.80 , 170352 , 167372
factorial5 , comp , haskell , 1.30 , 116576 , 74432
factorial5 , exec , haskell , 0.10 , 2020 , 56
factorial6 , comp , haskell , 1.20 , 116576 , 75228
factorial6 , exec , haskell , 0.10 , 2020 , 52
factorial7 , comp , haskell , 1.20 , 117600 , 75248
factorial7 , exec , haskell , 0.10 , 2020 , 52
factorial8 , comp , haskell , 1.20 , 116576 , 75520
factorial8 , exec , haskell , 0.10 , 2020 , 52
factorial9 , comp , haskell , 1.20 , 116576 , 75904
factorial9 , exec , haskell , 0.50 , 15708 , 12548
fib32 , comp , haskell , 1.60 , 116576 , 74388
fib32 , exec , haskell , 4.72 , 91508 , 88444
fibfree , comp , haskell , 1.90 , 117600 , 77592
fibfree , exec , haskell , 0.10 , 2020 , 52
fibonacci05 , comp , haskell , 1.20 , 117600 , 75396
fibonacci05 , exec , haskell , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 1.20 , 117600 , 75104
fibonacci18 , exec , haskell , 0.10 , 2020 , 52
fibonacci19 , comp , haskell , 1.20 , 117600 , 74880
fibonacci19 , exec , haskell , 0.10 , 2020 , 56
fibonacci20 , comp , haskell , 1.20 , 117600 , 76464
fibonacci20 , exec , haskell , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 1.20 , 116576 , 74920
fibonacci21 , exec , haskell , 0.10 , 2020 , 52
hanoi4 , comp , haskell , 1.40 , 118624 , 76568
hanoi4 , exec , haskell , 0.10 , 2020 , 56
langton6 , comp , haskell , 2.40 , 130912 , 90492
langton6 , exec , haskell , 165.74 , 11652 , 8824
langton7 , comp , haskell , 2.40 , 130912 , 90924
langton7 , exec , haskell , 344.39 , 12676 , 9968
logic3 , comp , haskell , 1.20 , 117600 , 75120
logic3 , exec , haskell , 0.10 , 2020 , 52
merge , comp , haskell , 1.50 , 115552 , 73296
merge , exec , haskell , 0.10 , 2020 , 52
mergesort1000 , comp , haskell , 1.50 , 117600 , 75580
mergesort1000 , exec , haskell , 0.70 , 6508 , 3428
mergesort100 , comp , haskell , 1.50 , 117600 , 76728
mergesort100 , exec , haskell , 0.10 , 2020 , 52
mergesort10 , comp , haskell , 1.40 , 117600 , 75300
mergesort10 , exec , haskell , 0.10 , 2020 , 56
missionaries2 , comp , haskell , 2.00 , 120672 , 77680
missionaries2 , exec , haskell , 0.10 , 2020 , 56
missionaries3 , comp , haskell , 2.00 , 120672 , 78544
missionaries3 , exec , haskell , 0.10 , 2020 , 52
permutations6 , comp , haskell , 1.40 , 118624 , 76056
permutations6 , exec , haskell , 0.10 , 2020 , 56
permutations7 , comp , haskell , 1.50 , 118624 , 75336
permutations7 , exec , haskell , 0.40 , 8556 , 5636
quicksort1000 , comp , haskell , 1.40 , 117600 , 75148
quicksort1000 , exec , haskell , 7.62 , 20844 , 18028
quicksort100 , comp , haskell , 1.40 , 117600 , 75528
quicksort100 , exec , haskell , 0.10 , 2020 , 56
quicksort10 , comp , haskell , 1.40 , 118624 , 75900
quicksort10 , exec , haskell , 0.10 , 2020 , 52
revnat10000 , comp , haskell , 1.30 , 117600 , 75364
revnat10000 , exec , haskell , 155.28 , 8548 , 5648
revnat1000 , comp , haskell , 1.30 , 117600 , 75672
revnat1000 , exec , haskell , 0.50 , 6500 , 3340
revnat100 , comp , haskell , 1.30 , 117600 , 76900
revnat100 , exec , haskell , 0.10 , 2020 , 56
sieve10000 , comp , haskell , 1.40 , 117600 , 74876
sieve10000 , exec , haskell , 54.97 , 8560 , 4752
sieve1000 , comp , haskell , 1.41 , 116576 , 73576
sieve1000 , exec , haskell , 0.30 , 6512 , 3220
sieve100 , comp , haskell , 1.40 , 116576 , 73556
sieve100 , exec , haskell , 0.10 , 2020 , 56
sieve2000 , comp , haskell , 1.40 , 116576 , 73860
sieve2000 , exec , haskell , 0.91 , 6512 , 3528
sieve20 , comp , haskell , 1.50 , 116576 , 73984
sieve20 , exec , haskell , 0.10 , 2020 , 52
tak18 , comp , haskell , 1.40 , 118624 , 76128
tak18 , exec , haskell , 0.10 , 2020 , 52
tak36 , comp , haskell , 1.30 , 117600 , 75852
tak36 , exec , haskell , 1.00 , 6504 , 3264
benchexpr10 , comp-exec , maude , 0.30 , 9704 , 7892
benchexpr20 , comp-exec , maude , 7.11 , 196620 , 194832
benchexpr22 , comp-exec , maude , 28.03 , 769608 , 767468
benchsym10 , comp-exec , maude , 0.20 , 10040 , 7896
benchsym20 , comp-exec , maude , 5.30 , 10916 , 9124
benchsym22 , comp-exec , maude , 20.82 , 10916 , 8952
benchtree10 , comp-exec , maude , 0.20 , 13380 , 8552
benchtree20 , comp-exec , maude , 15.52 , 1023476 , 1021412
benchtree22 , comp-exec , maude , failed with exit status 1
binarysearch , comp-exec , maude , failed with exit status 1
bubblesort1000 , comp-exec , maude , 19.93 , 11360 , 8724
bubblesort100 , comp-exec , maude , 0.20 , 13380 , 10032
bubblesort10 , comp-exec , maude , 0.20 , 10216 , 8292
bubblesort20 , comp-exec , maude , 0.10 , 2020 , 52
bubblesort720 , comp-exec , maude , 7.72 , 10692 , 9072
dart , comp-exec , maude , 0.30 , 14088 , 12348
evalexpr , comp-exec , maude , 18.42 , 59692 , 57804
evalsym , comp-exec , maude , 713.61 , 11956 , 9244
evaltree , comp-exec , maude , 47.56 , 299492 , 297284
factorial5 , comp-exec , maude , 0.20 , 13380 , 9796
factorial6 , comp-exec , maude , 0.20 , 10288 , 8600
factorial7 , comp-exec , maude , 0.20 , 2020 , 52
factorial8 , comp-exec , maude , 0.20 , 14404 , 11820
factorial9 , comp-exec , maude , failed with exit status 1
fib32 , comp-exec , maude , 50.95 , 10940 , 8636
fibfree , comp-exec , maude , 0.20 , 11956 , 9696
fibonacci05 , comp-exec , maude , 0.10 , 2020 , 52
fibonacci18 , comp-exec , maude , 0.20 , 10288 , 8432
fibonacci19 , comp-exec , maude , 0.20 , 10420 , 8692
fibonacci20 , comp-exec , maude , 0.20 , 14404 , 11884
fibonacci21 , comp-exec , maude , 0.20 , 10552 , 8652
hanoi4 , comp-exec , maude , 0.10 , 2020 , 52
langton6 , comp-exec , maude , failed with exit status 1
langton7 , comp-exec , maude , failed with exit status 1
logic3 , comp-exec , maude , 0.20 , 10288 , 8204
merge , comp-exec , maude , 0.20 , 10040 , 7896
mergesort1000 , comp-exec , maude , 1.30 , 10944 , 9228
mergesort100 , comp-exec , maude , 0.20 , 10584 , 8640
mergesort10 , comp-exec , maude , 0.10 , 2020 , 52
missionaries2 , comp-exec , maude , 0.20 , 11220 , 8740
missionaries3 , comp-exec , maude , 0.20 , 10288 , 8444
permutations6 , comp-exec , maude , 0.20 , 10784 , 8964
permutations7 , comp-exec , maude , 1.00 , 13768 , 12208
quicksort1000 , comp-exec , maude , 41.05 , 34116 , 32396
quicksort100 , comp-exec , maude , 0.20 , 10584 , 8716
quicksort10 , comp-exec , maude , 0.20 , 10216 , 8292
revnat10000 , comp-exec , maude , 54.95 , 16204 , 14268
revnat1000 , comp-exec , maude , 0.70 , 10860 , 9080
revnat100 , comp-exec , maude , 0.30 , 10288 , 8212
sieve10000 , comp-exec , maude , 631.75 , 14456 , 12656
sieve1000 , comp-exec , maude , 1.50 , 10692 , 8728
sieve100 , comp-exec , maude , 0.20 , 13380 , 10760
sieve2000 , comp-exec , maude , 8.32 , 11248 , 9276
sieve20 , comp-exec , maude , 0.20 , 13380 , 8448
tak18 , comp-exec , maude , 0.40 , 10528 , 8640
tak36 , comp-exec , maude , 14.71 , 13812 , 11652
benchexpr10 , comp , mcrl2 , 0.60 , 14164 , 9996
benchexpr10 , exec , mcrl2 , 0.30 , 14280 , 9720
benchexpr10 , comp , mcrl2-jittyc , 0.20 , 14164 , 9764
benchexpr10 , exec , mcrl2-jittyc , failed with exit status 1
benchexpr20 , comp , mcrl2 , 0.20 , 14164 , 10060
benchexpr20 , exec , mcrl2 , 50.65 , 14372 , 9780
benchexpr20 , comp , mcrl2-jittyc , 0.20 , 14164 , 9964
benchexpr20 , exec , mcrl2-jittyc , failed with exit status 1
benchexpr22 , comp , mcrl2 , 0.20 , 14164 , 8520
benchexpr22 , exec , mcrl2 , 202.38 , 14412 , 9920
benchexpr22 , comp , mcrl2-jittyc , 0.20 , 14164 , 10008
benchexpr22 , exec , mcrl2-jittyc , failed with exit status 1
benchsym10 , comp , mcrl2 , 0.20 , 14164 , 9956
benchsym10 , exec , mcrl2 , 0.20 , 14288 , 9496
benchsym10 , comp , mcrl2-jittyc , 0.20 , 14164 , 10020
