asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , failed with exit status 1
logic3 , comp , mcrl2 , 0.20 , 12680 , 9020
logic3 , exec , mcrl2 , 0.10 , 2020 , 52
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
logic3 , exec , mcrl2-jittyc , 10.11 , 14308 , 9808
merge , comp , mcrl2 , 0.20 , 13224 , 8976
merge , exec , mcrl2 , 0.10 , 2020 , 52
merge , comp , mcrl2-jittyc , 0.10 , 2020 , 52
merge , exec , mcrl2-jittyc , 11.62 , 14364 , 10208
mergesort , comp , mcrl2 , timed out after 2500
mergesort , comp , mcrl2-jittyc , timed out after 2500
missionariescannibals , comp , mcrl2 , 0.20 , 13224 , 9776
missionariescannibals , exec , mcrl2 , failed with exit status 1
missionariescannibals , comp , mcrl2-jittyc , 0.20 , 13224 , 9640
missionariescannibals , exec , mcrl2-jittyc , failed with exit status 1
oddeven , comp , mcrl2 , 13.02 , 12548 , 9132
oddeven , exec , mcrl2 , 0.10 , 2020 , 56
oddeven , comp , mcrl2-jittyc , 12.91 , 12548 , 9112
oddeven , exec , mcrl2-jittyc , 10.91 , 14360 , 10220
permutations , comp , mcrl2 , 0.10 , 2020 , 56
permutations , exec , mcrl2 , 0.10 , 2020 , 52
permutations , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations , exec , mcrl2-jittyc , 11.52 , 14364 , 10100
quicksort , comp , mcrl2 , timed out after 2500
quicksort , comp , mcrl2-jittyc , timed out after 2500
revelt , comp , mcrl2 , 0.10 , 2020 , 52
revelt , exec , mcrl2 , 0.10 , 2020 , 52
revelt , comp , mcrl2-jittyc , 0.10 , 2020 , 52
revelt , exec , mcrl2-jittyc , 9.72 , 14308 , 9820
revnat , comp , mcrl2 , failed with exit status 1
revnat , comp , mcrl2-jittyc , failed with exit status 1
sieve , comp , mcrl2 , failed with exit status 1
sieve , comp , mcrl2-jittyc , failed with exit status 1
tak , comp , mcrl2 , 0.10 , 2020 , 56
tak , exec , mcrl2 , 1.40 , 14268 , 9112
tak , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tak , exec , mcrl2-jittyc , 11.12 , 14364 , 10092
tautologyhard , comp , mcrl2 , 0.20 , 13372 , 8468
tautologyhard , exec , mcrl2 , 0.10 , 2020 , 56
tautologyhard , comp , mcrl2-jittyc , 0.20 , 13372 , 9880
tautologyhard , exec , mcrl2-jittyc , 10.82 , 14364 , 9868
asfsdfbenchmark , comp , ocaml , 0.30 , 9472 , 6892
asfsdfbenchmark , exec , ocaml , timed out after 2500
binarysearch , comp , ocaml , 0.20 , 8216 , 5924
binarysearch , exec , ocaml , failed with exit status 2
bubblesort , comp , ocaml , 0.30 , 9408 , 7132
bubblesort , exec , ocaml , 9.41 , 5796 , 2936
closure , comp , ocaml , 0.70 , 10968 , 8476
closure , exec , ocaml , 0.40 , 5728 , 2764
dart , comp , ocaml , 0.20 , 7972 , 4824
dart , exec , ocaml , failed with exit status 2
evalexpr , comp , ocaml , 0.20 , 7972 , 5640
evalexpr , exec , ocaml , failed with exit status 2
evalsym , comp , ocaml , 0.20 , 7972 , 5444
evalsym , exec , ocaml , 61.45 , 5796 , 2732
evaltree , comp , ocaml , 0.10 , 2020 , 56
evaltree , exec , ocaml , 4.11 , 47140 , 42232
factorial6 , comp , ocaml , 0.10 , 2020 , 52
factorial6 , exec , ocaml , 0.10 , 2020 , 52
factorial7 , comp , ocaml , 0.10 , 2020 , 52
factorial7 , exec , ocaml , 0.10 , 2020 , 56
factorial8 , comp , ocaml , 0.10 , 2020 , 56
factorial8 , exec , ocaml , 0.10 , 2020 , 52
factorial9 , comp , ocaml , 0.10 , 2020 , 56
factorial9 , exec , ocaml , failed with exit status 2
fib32 , comp , ocaml , 0.20 , 8216 , 5704
fib32 , exec , ocaml , failed with exit status 2
fibfree , comp , ocaml , 0.40 , 8960 , 6560
fibfree , exec , ocaml , 0.10 , 2020 , 52
fibonacci , comp , ocaml , 0.10 , 2020 , 52
fibonacci , exec , ocaml , failed with exit status 2
garbagecollection , comp , ocaml , 0.20 , 8876 , 6064
garbagecollection , exec , ocaml , 0.10 , 2020 , 52
hanoi , comp , ocaml , 0.20 , 7972 , 5464
hanoi , exec , ocaml , 0.10 , 2020 , 56
langton , comp , ocaml , 2.30 , 10448 , 7900
langton , exec , ocaml , 350.89 , 17444 , 12272
logic3 , comp , ocaml , 0.20 , 8844 , 5924
logic3 , exec , ocaml , 0.10 , 2020 , 56
merge , comp , ocaml , 0.20 , 7972 , 5580
merge , exec , ocaml , 0.10 , 2020 , 52
