asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial7 , exec , mcrl2-jittyc , 9.41 , 15624 , 11324
factorial8 , comp , mcrl2 , 0.10 , 2020 , 56
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp , mcrl2 , 0.10 , 2020 , 56
factorial9 , exec , mcrl2 , failed with exit status 1
factorial9 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial9 , exec , mcrl2-jittyc , failed with exit status 1
fib32 , comp , mcrl2 , 0.20 , 13216 , 9124
fib32 , exec , mcrl2 , 269.33 , 14280 , 9284
fib32 , comp , mcrl2-jittyc , 0.20 , 13216 , 9832
fib32 , exec , mcrl2-jittyc , 22.83 , 14616 , 10408
fibfree , comp , mcrl2 , 0.30 , 15560 , 12176
fibfree , exec , mcrl2 , 0.10 , 2020 , 52
fibfree , comp , mcrl2-jittyc , 0.20 , 15560 , 11200
fibfree , exec , mcrl2-jittyc , 17.32 , 14556 , 10096
fibonacci , comp , mcrl2 , failed with exit status 1
fibonacci , comp , mcrl2-jittyc , failed with exit status 1
garbagecollection , comp , mcrl2 , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2 , 0.10 , 2020 , 52
garbagecollection , comp , mcrl2-jittyc , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2-jittyc , 10.72 , 14312 , 9852
hanoi , comp , mcrl2 , 0.10 , 2020 , 52
hanoi , exec , mcrl2 , 0.10 , 2020 , 52
hanoi , comp , mcrl2-jittyc , 0.10 , 2020 , 52
hanoi , exec , mcrl2-jittyc , 12.01 , 14408 , 10156
langton , comp , mcrl2 , 0.20 , 15628 , 10044
langton , exec , mcrl2 , failed with exit status 1
langton , comp , mcrl2-jittyc , 0.20 , 15628 , 11304
langton , exec , mcrl2-jittyc , failed with exit status 1
logic3 , comp , mcrl2 , 0.10 , 2020 , 52
logic3 , exec , mcrl2 , 0.10 , 2020 , 52
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
logic3 , exec , mcrl2-jittyc , 10.11 , 14308 , 9876
merge , comp , mcrl2 , 0.10 , 2020 , 52
merge , exec , mcrl2 , 0.10 , 2020 , 56
merge , comp , mcrl2-jittyc , 0.10 , 2020 , 56
merge , exec , mcrl2-jittyc , 11.62 , 14364 , 9968
mergesort , comp , mcrl2 , timed out after 2500
mergesort , comp , mcrl2-jittyc , timed out after 2500
missionariescannibals , comp , mcrl2 , 0.20 , 13224 , 10036
missionariescannibals , exec , mcrl2 , failed with exit status 1
missionariescannibals , comp , mcrl2-jittyc , 0.20 , 13224 , 9064
missionariescannibals , exec , mcrl2-jittyc , failed with exit status 1
oddeven , comp , mcrl2 , 13.02 , 12548 , 9044
oddeven , exec , mcrl2 , 0.10 , 2020 , 52
oddeven , comp , mcrl2-jittyc , 13.02 , 12548 , 9160
oddeven , exec , mcrl2-jittyc , 11.01 , 14360 , 10244
permutations , comp , mcrl2 , 0.10 , 2020 , 52
permutations , exec , mcrl2 , 0.10 , 2020 , 52
permutations , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations , exec , mcrl2-jittyc , 11.51 , 14364 , 10004
quicksort , comp , mcrl2 , timed out after 2500
quicksort , comp , mcrl2-jittyc , timed out after 2500
revelt , comp , mcrl2 , 0.10 , 2020 , 56
revelt , exec , mcrl2 , 0.10 , 2020 , 52
revelt , comp , mcrl2-jittyc , 0.10 , 2020 , 56
revelt , exec , mcrl2-jittyc , 9.71 , 14308 , 9844
revnat , comp , mcrl2 , failed with exit status 1
revnat , comp , mcrl2-jittyc , failed with exit status 1
sieve , comp , mcrl2 , failed with exit status 1
sieve , comp , mcrl2-jittyc , failed with exit status 1
tak , comp , mcrl2 , 0.10 , 2020 , 52
tak , exec , mcrl2 , 1.41 , 14268 , 9300
tak , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tak , exec , mcrl2-jittyc , 11.11 , 14364 , 9944
tautologyhard , comp , mcrl2 , 0.10 , 2020 , 56
tautologyhard , exec , mcrl2 , 0.10 , 2020 , 56
