logic3 , comp , haskell , 1.20 , 117600 , 74932
logic3 , exec , haskell , 0.10 , 2020 , 56
merge , comp , haskell , 1.60 , 117600 , 77144
merge , exec , haskell , 0.10 , 2020 , 56
mergesort10 , comp , haskell , 1.40 , 117600 , 75332
mergesort10 , exec , haskell , 0.10 , 2020 , 52
mergesort100 , comp , haskell , 1.41 , 117600 , 75328
mergesort100 , exec , haskell , 0.10 , 2020 , 52
mergesort1000 , comp , haskell , 1.40 , 117600 , 75460
mergesort1000 , exec , haskell , 0.70 , 6508 , 3420
missionaries2 , comp , haskell , 2.11 , 120672 , 77444
missionaries2 , exec , haskell , 0.10 , 2020 , 52
missionaries3 , comp , haskell , 2.11 , 120672 , 77440
missionaries3 , exec , haskell , 0.10 , 2020 , 52
permutations6 , comp , haskell , 1.50 , 118624 , 75816
permutations6 , exec , haskell , 0.10 , 2020 , 52
permutations7 , comp , haskell , 1.50 , 118624 , 75708
permutations7 , exec , haskell , 0.50 , 8556 , 5544
quicksort10 , comp , haskell , 1.50 , 117600 , 75328
quicksort10 , exec , haskell , 0.10 , 2020 , 56
quicksort100 , comp , haskell , 1.50 , 117600 , 76484
quicksort100 , exec , haskell , 0.10 , 2020 , 56
quicksort1000 , comp , haskell , 1.50 , 117600 , 75388
quicksort1000 , exec , haskell , 7.72 , 20844 , 18080
revnat100 , comp , haskell , 1.30 , 117600 , 75776
revnat100 , exec , haskell , 0.10 , 2020 , 56
revnat1000 , comp , haskell , 1.40 , 117600 , 75616
revnat1000 , exec , haskell , 0.60 , 6500 , 3108
revnat10000 , comp , haskell , 1.30 , 117600 , 75792
revnat10000 , exec , haskell , 158.19 , 8548 , 5696
sieve20 , comp , haskell , 1.51 , 116576 , 73968
sieve20 , exec , haskell , 0.10 , 2020 , 56
sieve100 , comp , haskell , 1.50 , 116576 , 73632
sieve100 , exec , haskell , 0.10 , 2020 , 52
sieve1000 , comp , haskell , 1.40 , 116576 , 73488
sieve1000 , exec , haskell , 0.20 , 6512 , 3324
sieve2000 , comp , haskell , 1.60 , 116576 , 73528
sieve2000 , exec , haskell , 1.00 , 6512 , 3424
sieve10000 , comp , haskell , 1.50 , 116576 , 73368
sieve10000 , exec , haskell , 55.17 , 8560 , 4808
tak18 , comp , haskell , 1.40 , 117600 , 75472
tak18 , exec , haskell , 0.10 , 2020 , 56
tak36 , comp , haskell , 1.30 , 117600 , 75920
tak36 , exec , haskell , 1.00 , 6504 , 3228
benchexpr10 , comp-exec , maude , 0.20 , 10684 , 8464
benchexpr20 , comp-exec , maude , 7.21 , 196620 , 194548
benchexpr22 , comp-exec , maude , 28.34 , 769608 , 767708
benchsym10 , comp-exec , maude , 0.20 , 14404 , 12172
benchsym20 , comp-exec , maude , 5.31 , 10916 , 9036
benchsym22 , comp-exec , maude , 21.23 , 10916 , 8736
benchtree10 , comp-exec , maude , 0.20 , 10252 , 8384
benchtree20 , comp-exec , maude , 15.72 , 1023500 , 1021652
benchtree22 , comp-exec , maude , failed with exit status 1
binarysearch , comp-exec , maude , failed with exit status 1
bubblesort10 , comp-exec , maude , 0.20 , 13380 , 10448
bubblesort20 , comp-exec , maude , 0.10 , 2020 , 52
bubblesort100 , comp-exec , maude , 0.20 , 10524 , 8684
bubblesort720 , comp-exec , maude , 7.82 , 10640 , 8972
bubblesort1000 , comp-exec , maude , 20.02 , 12220 , 9960
dart , comp-exec , maude , 0.20 , 11208 , 9484
evalexpr , comp-exec , maude , 17.32 , 59692 , 57788
evalsym , comp-exec , maude , 715.00 , 10644 , 8452
evaltree , comp-exec , maude , 47.66 , 299492 , 297272
factorial5 , comp-exec , maude , 0.20 , 9704 , 7544
factorial6 , comp-exec , maude , 0.10 , 2020 , 52
factorial7 , comp-exec , maude , 0.20 , 11396 , 9684
factorial8 , comp-exec , maude , 0.20 , 13232 , 11324
factorial9 , comp-exec , maude , failed with exit status 1
fib32 , comp-exec , maude , 50.65 , 10940 , 8464
fibfree , comp-exec , maude , 0.20 , 11360 , 8080
