asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 9844
factorial7 , comp , mcrl2 , 0.10 , 2020 , 56
factorial7 , exec , mcrl2 , 0.20 , 19404 , 14668
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial7 , exec , mcrl2-jittyc , 9.31 , 14312 , 9848
factorial8 , comp , mcrl2 , 0.10 , 2020 , 52
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp , mcrl2 , 0.10 , 2020 , 52
factorial9 , exec , mcrl2 , failed with exit status 1
factorial9 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial9 , exec , mcrl2-jittyc , failed with exit status 1
fib32 , comp , mcrl2 , 0.10 , 2020 , 52
fib32 , exec , mcrl2 , 270.03 , 14280 , 9280
fib32 , comp , mcrl2-jittyc , 0.20 , 13228 , 9828
fib32 , exec , mcrl2-jittyc , 22.84 , 14604 , 10596
fibfree , comp , mcrl2 , 0.20 , 15560 , 11532
fibfree , exec , mcrl2 , 0.10 , 2020 , 52
fibfree , comp , mcrl2-jittyc , 0.20 , 15560 , 9964
fibfree , exec , mcrl2-jittyc , 17.32 , 14556 , 10112
fibonacci05 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci05 , exec , mcrl2 , 0.11 , 2020 , 56
fibonacci05 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2-jittyc , 10.91 , 14356 , 9928
fibonacci18 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci18 , exec , mcrl2 , 0.20 , 16852 , 12048
fibonacci18 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci18 , exec , mcrl2-jittyc , 9.42 , 14312 , 9884
fibonacci19 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci19 , exec , mcrl2 , 0.30 , 18704 , 14232
fibonacci19 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci19 , exec , mcrl2-jittyc , 9.41 , 15748 , 11528
fibonacci20 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci20 , exec , mcrl2 , 0.30 , 20144 , 15704
fibonacci20 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci20 , exec , mcrl2-jittyc , 9.41 , 15800 , 11616
fibonacci21 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci21 , exec , mcrl2 , 0.30 , 20140 , 15748
fibonacci21 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci21 , exec , mcrl2-jittyc , 9.41 , 17104 , 12764
garbagecollection , comp , mcrl2 , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2 , 0.10 , 2020 , 52
garbagecollection , comp , mcrl2-jittyc , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2-jittyc , 10.81 , 14312 , 9912
hanoi , comp , mcrl2 , 0.20 , 12548 , 8520
hanoi , exec , mcrl2 , 0.10 , 2020 , 56
hanoi , comp , mcrl2-jittyc , 0.10 , 2020 , 52
hanoi , exec , mcrl2-jittyc , 12.01 , 14408 , 9980
langton , comp , mcrl2 , 0.20 , 15628 , 9872
langton , exec , mcrl2 , failed with exit status 1
langton , comp , mcrl2-jittyc , 0.20 , 15628 , 11332
langton , exec , mcrl2-jittyc , failed with exit status 1
logic3 , comp , mcrl2 , 0.20 , 12680 , 9436
logic3 , exec , mcrl2 , 0.10 , 2020 , 56
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
logic3 , exec , mcrl2-jittyc , 10.12 , 14308 , 9944
