test_name,trial,ghc_real_time,ghc_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
missionaries2.hs,3,0.41,122448.0,0.0,0.0,0.0,3564.0,0.0
missionaries2.hs,4,0.41,122688.0,0.0,0.0,0.0,3552.0,0.0
fibonacci19.hs,0,0.51,140824.0,0.0,0.0,0.0,4856.0,0.0
fibonacci19.hs,1,0.4,121852.0,0.0,0.0,0.0,4608.0,0.0
fibonacci19.hs,2,0.4,121856.0,0.0,0.0,0.0,4492.0,0.0
fibonacci19.hs,3,0.4,121548.0,0.0,0.0,0.0,4668.0,0.0
fibonacci19.hs,4,0.4,121964.0,0.0,0.0,0.0,4660.0,0.0
mergesort10.hs,0,0.64,141652.0,0.0,0.0,0.0,3268.0,0.0
mergesort10.hs,1,0.4,122564.0,0.0,0.0,0.0,3360.0,0.0
mergesort10.hs,2,0.41,122028.0,0.0,0.0,0.0,3432.0,0.0
mergesort10.hs,3,0.41,122024.0,0.0,0.0,0.0,3500.0,0.0
mergesort10.hs,4,0.4,121712.0,0.0,0.0,0.0,3416.0,0.0
hanoi4.hs,0,0.74,142708.0,0.0,0.0,0.0,3572.0,0.0
hanoi4.hs,1,0.41,122268.0,0.0,0.0,0.0,3448.0,0.0
hanoi4.hs,2,0.4,122144.0,0.0,0.0,0.0,3456.0,0.0
hanoi4.hs,3,0.4,121960.0,0.0,0.0,0.0,3384.0,0.0
hanoi4.hs,4,0.4,122092.0,0.0,0.0,0.0,3372.0,0.0
quicksort100.hs,0,0.41,122304.0,0.0,0.0,0.0,4716.0,0.0
quicksort100.hs,1,0.4,121968.0,0.0,0.0,0.0,4536.0,0.0
quicksort100.hs,2,0.41,121728.0,0.0,0.0,0.0,4704.0,0.0
quicksort100.hs,3,0.41,122156.0,0.0,0.0,0.0,4712.0,0.0
quicksort100.hs,4,0.42,122220.0,0.0,0.0,0.0,4636.0,0.0
langton7.hs,0,0.99,161352.0,50.6,0.09,50.69,16588.0,0.0
langton7.hs,1,0.39,121992.0,51.3,0.06,51.37,16588.0,0.0
langton7.hs,2,0.39,122152.0,51.94,0.07,52.02,16484.0,0.0
langton7.hs,3,0.4,121816.0,52.2,0.1,52.31,16480.0,0.0
langton7.hs,4,0.39,122448.0,52.84,0.09,52.94,16468.0,0.0
check1.hs,0,0.52,140276.0,0.0,0.0,0.0,3336.0,0.0
check1.hs,1,0.41,121612.0,0.0,0.0,0.0,3248.0,0.0
check1.hs,2,0.4,121936.0,0.0,0.0,0.0,3600.0,0.0
check1.hs,3,0.41,121784.0,0.0,0.0,0.0,3468.0,0.0
check1.hs,4,0.41,121936.0,0.0,0.0,0.0,3352.0,0.0
benchtree22.hs,0,0.76,149112.0,3.7,0.2,3.9,216260.0,0.0
benchtree22.hs,1,0.4,121816.0,3.66,0.24,3.9,216164.0,0.0
benchtree22.hs,2,0.4,122764.0,3.66,0.23,3.9,216508.0,0.0
benchtree22.hs,3,0.4,121820.0,3.77,0.21,3.99,216308.0,0.0
benchtree22.hs,4,0.4,121984.0,3.8,0.24,4.04,216236.0,0.0
searchinconditions.hs,0,0.52,140116.0,0.0,0.0,0.0,3464.0,0.0
searchinconditions.hs,1,0.4,121704.0,0.0,0.0,0.0,3516.0,0.0
